feature,importance
days_since_2020,728.414387369368
Location_encoded,620.6180422665685
size_per_room,578.7824421998462
Condition_encoded,565.6759366068017
size_time_interaction,510.25267258269116
Size,478.292834942946
size_per_bedroom,402.5085622088418
day_of_year,357.500878350923
log_size,280.7870561120027
property_age,246.5005149487193
age_size_interaction,237.00031169491325
Type_encoded,209.51670975408842
size_squared,187.05382887874774
total_rooms,155.50189880020702
year_sold,105.3001776109605
Bedrooms,101.7514841013994
month_sold,87.0004790136849
bed_bath_product,74.50097990473316
bath_ratio,73.50015679948413
Bathrooms,56.50017932636144
decade_built,39.25025147143881
year_sold_numeric,15.038443782525297
is_spring_summer,9.250126275929366
quarter,5.251587157901655
is_recent,3.017768914216783e-05
is_new_construction,2.7652174211385957e-05
